frame,timestamp,local_track_id,global_student_id,reid_confidence,class_name,gaze_score,posture_score,motion_score,head_down,writing_posture,activity,engagement_score
47,1776751291.4270446,1,20,1.0,person,0.55,1.0,0.227991908788681,False,False,,0.7035842339197794
47,1776751291.4270446,2,2,1.0,person,0.85,1.0,0.0506850853562355,True,True,WRITING,0.9932219343526022
47,1776751291.4270446,3,3,1.0,person,0.85,1.0,0.1380103379487991,True,True,WRITING,0.9904000354664668
47,1776751291.4270446,5,4,1.0,person,0.9593965572611576,1.0,0.0391674526035785,True,True,WRITING,0.9959065105233872
47,1776751291.4270446,7,5,1.0,person,0.55,1.0,0.1556876450777053,False,False,,0.8847332277468273
47,1776751291.4270446,10,7,1.0,person,0.85,1.0,0.1433995068073272,True,True,WRITING,0.9824857831001282
47,1776751291.4270446,13,8,1.0,person,0.85,0.85,0.7940056324005127,True,True,WRITING,0.9123969041844544
47,1776751291.4270446,9,1,1.0,person,0.85,1.0,0.2913618683815002,True,True,WRITING,0.9886865211384638
49,1776751293.914176,1,20,1.0,person,0.55,1.0,0.1256625652313232,False,False,,0.7050107043413888
49,1776751293.914176,2,2,1.0,person,0.85,1.0,0.0714318603277206,True,True,WRITING,0.9940758056583858
49,1776751293.914176,3,3,1.0,person,0.85,1.0,0.1798960417509079,True,True,WRITING,0.9904672730536688
49,1776751293.914176,5,4,1.0,person,0.9559337503497032,1.0,0.0491416379809379,True,True,WRITING,0.9963008513053256
49,1776751293.914176,7,5,1.0,person,0.85,1.0,0.1469800919294357,True,True,WRITING,0.8942597799357914
49,1776751293.914176,10,7,1.0,person,0.85,1.0,0.1478334069252014,True,True,WRITING,0.9842229283991314
49,1776751293.914176,13,8,1.0,person,0.85,0.85,0.5362664461135864,True,True,WRITING,0.9174911144309018
49,1776751293.914176,9,1,1.0,person,0.85,1.0,0.1835492253303527,True,True,WRITING,0.9891397115730104
51,1776751296.4676688,1,20,1.0,person,0.55,1.0,0.3117288053035736,False,False,,0.6973358321757543
51,1776751296.4676688,2,2,1.0,person,0.85,1.0,0.095936007797718,True,True,WRITING,0.9943255335092543
51,1776751296.4676688,3,3,1.0,person,0.85,1.0,0.0955642610788345,True,True,WRITING,0.9912947522742408
51,1776751296.4676688,5,4,1.0,person,0.974333977077791,1.0,0.1050465106964111,True,True,WRITING,0.9961990167697272
51,1776751296.4676688,7,5,1.0,person,0.85,1.0,0.1186282262206077,True,True,WRITING,0.903726142786798
51,1776751296.4676688,10,7,1.0,person,0.85,1.0,0.0965343788266182,True,True,WRITING,0.9857715399492354
51,1776751296.4676688,13,8,1.0,person,0.85,0.85,0.1803064346313476,True,True,WRITING,0.9250065845574152
51,1776751296.4676688,9,1,1.0,person,0.85,1.0,0.1772388219833374,True,True,WRITING,0.9901008605957032
53,1776751299.0654614,1,20,1.0,person,0.55,1.0,0.1520203351974487,False,False,,0.7039353457235155
53,1776751299.0654614,2,2,1.0,person,0.85,1.0,0.1727336198091507,True,True,WRITING,0.9939980443034852
53,1776751299.0654614,3,3,1.0,person,0.85,1.0,0.092132344841957,True,True,WRITING,0.9923660116536276
53,1776751299.0654614,5,4,1.0,person,0.9841230302452172,1.0,0.10651246458292,True,True,WRITING,0.9960812145755406
53,1776751299.0654614,7,5,1.0,person,0.55,1.0,0.0782617405056953,False,False,,0.8710760914144062
53,1776751299.0654614,10,7,1.0,person,0.85,1.0,0.1170456260442733,True,True,WRITING,0.989978980450403
53,1776751299.0654614,13,8,1.0,person,0.85,0.85,0.149344339966774,True,True,WRITING,0.9332984023438116
53,1776751299.0654614,9,1,1.0,person,0.85,1.0,0.1522330939769745,True,True,WRITING,0.9906435835929144
55,1776751301.474414,1,20,1.0,person,0.55,1.0,0.2914486527442932,False,False,,0.6970369908071699
55,1776751301.474414,2,2,1.0,person,0.85,1.0,0.1349222362041473,True,True,WRITING,0.9941826853014174
55,1776751301.474414,3,3,1.0,person,0.85,1.0,0.0836727917194366,True,True,WRITING,0.992886034505708
55,1776751301.474414,5,4,1.0,person,0.9766228151474572,1.0,0.1148011907935142,True,True,WRITING,0.9958129539376214
55,1776751301.474414,7,5,1.0,person,0.55,1.0,0.0954860001802444,False,False,,0.84027623349712
55,1776751301.474414,10,7,1.0,person,0.85,1.0,0.1503413021564483,True,True,WRITING,0.9915776401758194
55,1776751301.474414,13,8,1.0,person,0.85,0.85,0.2442048490047454,True,True,WRITING,0.9402245868922784
55,1776751301.474414,9,1,1.0,person,0.85,1.0,0.18427574634552,True,True,WRITING,0.9908451594057536
57,1776751303.8244116,1,20,1.0,person,0.55,1.0,0.2640899419784546,False,False,,0.6911229498329616
57,1776751303.8244116,2,2,1.0,person,0.85,1.0,0.1472697705030441,True,True,WRITING,0.9940279111975716
57,1776751303.8244116,3,3,1.0,person,0.85,1.0,0.0852886587381362,True,True,WRITING,0.9936133438632604
57,1776751303.8244116,5,4,1.0,person,0.9704598151972036,1.0,0.0778006687760353,True,True,WRITING,0.9957686889739265
57,1776751303.8244116,7,5,1.0,person,0.85,1.0,0.0748666450381279,True,True,WRITING,0.8555725039470764
57,1776751303.8244116,10,7,1.0,person,0.85,1.0,0.059978287667036,True,True,WRITING,0.9933757526533944
57,1776751303.8244116,13,8,1.0,person,0.85,0.85,0.1856900155544281,True,True,WRITING,0.9642491402512504
57,1776751303.8244116,9,1,1.0,person,0.85,1.0,0.1293366849422454,True,True,WRITING,0.9913741052150726
59,1776751306.1632817,1,20,1.0,person,0.55,1.0,0.1341733038425445,False,False,,0.6931081726437522
59,1776751306.1632817,2,2,1.0,person,0.85,1.0,0.1660603284835815,True,True,WRITING,0.9936583943310238
59,1776751306.1632817,3,3,1.0,person,0.85,1.0,0.1366754621267318,True,True,WRITING,0.9938231997546696
59,1776751306.1632817,5,4,1.0,person,0.969544753349135,1.0,0.1375305950641632,True,True,WRITING,0.9953801050072624
59,1776751306.1632817,7,5,1.0,person,0.85,1.0,0.1333298534154892,True,True,WRITING,0.896627508458637
59,1776751306.1632817,10,7,1.0,person,0.85,1.0,0.1582075655460357,True,True,WRITING,0.9939048850820176
