frame,timestamp,student_id,class_name,gaze_score,posture_score,motion_score,engagement_score
9,1775027063.3116667,7,person,0.5,1.0,0.30766361951828003,0.5961495637893677
9,1775027063.3116667,9,person,0.5,0.6,0.4703105092048645,0.520546555519104
9,1775027063.3116667,11,person,0.5,1.0,0.0736389011144638,0.5610458254814148
9,1775027063.3116667,12,person,0.5,1.0,0.0987526923418045,0.5648128986358643
9,1775027063.3116667,13,person,0.6081056594848633,1.0,0.10483299195766449,0.6305883526802063
9,1775027063.3116667,14,person,0.5,0.6,0.3142027258872986,0.4971303939819336
9,1775027063.3116667,15,person,0.6568220257759094,1.0,0.42384281754493713,0.7076696157455444
10,1775027065.6184764,1,person,0.5,1.0,0.3733617663383484,0.6060042977333069
10,1775027065.6184764,2,person,0.5,1.0,0.4360266327857971,0.6154040098190308
10,1775027065.6184764,3,person,0.5,1.0,0.1633698046207428,0.5745055079460144
10,1775027065.6184764,6,person,0.5,0.6,0.30609968304634094,0.49591493606567383
10,1775027065.6184764,7,person,0.5,1.0,0.27267974615097046,0.5909019708633423
10,1775027065.6184764,9,person,0.5,0.3,0.440173476934433,0.4410260319709778
10,1775027065.6184764,11,person,0.5,1.0,0.13112807273864746,0.569669246673584
10,1775027065.6184764,12,person,0.5,1.0,0.06618554145097733,0.5599278211593628
10,1775027065.6184764,13,person,0.5,1.0,0.21250176429748535,0.5818752646446228
10,1775027065.6184764,15,person,0.6923847198486328,1.0,0.29316848516464233,0.7094061374664307
11,1775027067.8072433,1,person,0.5,1.0,0.2087932527065277,0.5813189744949341
11,1775027067.8072433,2,person,0.5,1.0,0.9442046880722046,0.6916307210922241
11,1775027067.8072433,3,person,0.5,1.0,0.12982580065727234,0.5694738626480103
11,1775027067.8072433,6,person,0.5,0.6,0.32351917028427124,0.498527854681015
11,1775027067.8072433,9,person,0.5,0.6,0.952511191368103,0.592876672744751
11,1775027067.8072433,11,person,0.5,1.0,0.09382224828004837,0.5640733242034912
11,1775027067.8072433,12,person,0.5,1.0,0.0599699392914772,0.5589954853057861
11,1775027067.8072433,13,person,0.5,1.0,0.20579083263874054,0.580868661403656
11,1775027067.8072433,15,person,0.6529635190963745,1.0,0.4612475335597992,0.7109652757644653
11,1775027067.8072433,14,person,0.5,1.0,0.2955038845539093,0.594325602054596
