frame,timestamp,student_id,class_name,gaze_score,posture_score,motion_score,engagement_score
1,1775454765.3202858,1,person,0.5,0.5,0.0,0.425
1,1775454765.3202858,2,person,0.5,0.3,0.0,0.375
1,1775454765.3202858,3,person,0.5,1.0,0.0,0.55
1,1775454765.3202858,5,person,0.5,0.6,0.0,0.44999999999999996
1,1775454765.3202858,6,person,0.5,0.6,0.0,0.44999999999999996
1,1775454765.3202858,7,person,0.7539414763450623,0.6,0.0,0.6023648858070373
1,1775454765.3202858,8,person,0.9993599653244019,1.0,0.0,0.849615979194641
1,1775454765.3202858,9,person,0.5,1.0,0.0,0.55
1,1775454765.3202858,11,person,0.5,0.6,0.0,0.44999999999999996
1,1775454765.3202858,13,person,0.5,0.5,0.0,0.425
2,1775454783.134371,1,person,0.5,1.0,0.07888409495353699,0.56183260679245
2,1775454783.134371,2,person,0.5,0.3,0.07260851562023163,0.38589128851890564
2,1775454783.134371,3,person,0.5,1.0,0.05402391403913498,0.558103621006012
2,1775454783.134371,5,person,0.5,0.6,0.09296615421772003,0.4639449119567871
2,1775454783.134371,6,person,0.5,0.6,0.06295200437307358,0.45944279432296753
2,1775454783.134371,7,person,0.9537150859832764,0.6,0.05479738861322403,0.7304486632347107
2,1775454783.134371,8,person,0.9999085664749146,1.0,0.0558490976691246,0.8583225011825562
2,1775454783.134371,9,person,0.5,0.5,0.0673191249370575,0.435097873210907
2,1775454783.134371,11,person,0.5,0.6,0.050588637590408325,0.4575882852077484
2,1775454783.134371,13,person,0.5,0.5,0.05520545691251755,0.4332808256149292
3,1775454787.7016501,1,person,0.5,1.0,0.07031498849391937,0.5605472326278687
3,1775454787.7016501,2,person,0.5,0.3,0.08030357211828232,0.3870455324649811
3,1775454787.7016501,3,person,0.5,1.0,0.06976056843996048,0.560464084148407
3,1775454787.7016501,5,person,0.5,0.6,0.09847164899110794,0.46477073431015015
3,1775454787.7016501,6,person,0.5,0.6,0.08053658902645111,0.4620804786682129
3,1775454787.7016501,7,person,0.9728332757949829,1.0,0.10298041254281998,0.8491470217704773
3,1775454787.7016501,8,person,0.9891302585601807,1.0,0.06537622213363647,0.8532845973968506
3,1775454787.7016501,9,person,0.5,0.5,0.051102954894304276,0.43266546726226807
3,1775454787.7016501,11,person,0.5,0.6,0.06173233315348625,0.45925983786582947
3,1775454787.7016501,13,person,0.5,0.5,0.12234171479940414,0.44335126876831055
4,1775454803.245858,1,person,0.5,1.0,0.11067759990692139,0.5666016340255737
4,1775454803.245858,2,person,0.5,0.3,0.16108140349388123,0.3991622030735016
4,1775454803.245858,3,person,0.5,1.0,0.09803692996501923,0.5647055506706238
4,1775454803.245858,5,person,0.5,0.6,0.13924793899059296,0.4708871841430664
4,1775454803.245858,6,person,0.5,0.6,0.07696210592985153,0.46154430508613586
4,1775454803.245858,7,person,0.5,1.0,0.0830254927277565,0.5624538660049438
4,1775454803.245858,8,person,0.997541069984436,1.0,0.09870077669620514,0.8633297681808472
4,1775454803.245858,9,person,0.5,0.5,0.07881781458854675,0.43682268261909485
4,1775454803.245858,11,person,0.5,0.6,0.06227114051580429,0.4593406617641449
4,1775454803.245858,13,person,0.5,0.5,0.14906015992164612,0.44735902547836304
5,1775454821.499594,1,person,0.5,1.0,0.13365241885185242,0.5700478553771973
5,1775454821.499594,2,person,0.5,0.3,0.12654654681682587,0.3939819931983948
5,1775454821.499594,3,person,0.5,1.0,0.1482924222946167,0.572243869304657
5,1775454821.499594,5,person,0.5,0.6,0.11886774003505707,0.4678301513195038
5,1775454821.499594,6,person,0.5,0.6,0.18826404213905334,0.47823959589004517
5,1775454821.499594,7,person,0.9259458780288696,0.6,0.09454268217086792,0.7197489142417908
5,1775454821.499594,8,person,0.9699806571006775,1.0,0.11100020259618759,0.8486384153366089
5,1775454821.499594,9,person,0.5,0.5,0.07049424201250076,0.43557414412498474
5,1775454821.499594,11,person,0.5,0.6,0.10202094167470932,0.46530312299728394
5,1775454821.499594,13,person,0.5,0.5,0.06649540364742279,0.4349743127822876
6,1775454823.9137762,1,person,0.5,1.0,0.05499810725450516,0.5582497119903564
6,1775454823.9137762,2,person,0.5,0.3,0.1295875608921051,0.39443814754486084
6,1775454823.9137762,3,person,0.5,1.0,0.05833371356129646,0.5587500929832458
6,1775454823.9137762,5,person,0.5,1.0,0.1310347318649292,0.5696552395820618
6,1775454823.9137762,6,person,0.5,0.6,0.0703853964805603,0.4605577886104584
6,1775454823.9137762,7,person,0.7466287016868591,0.5,0.07055387645959854,0.5835603475570679
6,1775454823.9137762,8,person,0.9969846606254578,1.0,0.05681882053613663,0.856713593006134
6,1775454823.9137762,9,person,0.5,0.5,0.0518818274140358,0.43278229236602783
6,1775454823.9137762,11,person,0.5,0.6,0.08348352462053299,0.4625225067138672
6,1775454823.9137762,13,person,0.5,0.5,0.06714601814746857,0.4350719153881073
7,1775454825.950833,1,person,0.5,0.6,0.16323286294937134,0.474484920501709
7,1775454825.950833,2,person,0.5,0.3,0.11563529819250107,0.3923453092575073
7,1775454825.950833,3,person,0.5,1.0,0.02423701249063015,0.5536355376243591
7,1775454825.950833,5,person,0.5,0.6,0.13341011106967926,0.47001150250434875
7,1775454825.950833,6,person,0.8896135091781616,0.6,0.08597959578037262,0.6966650485992432
7,1775454825.950833,7,person,0.5,1.0,0.03562542051076889,0.5553438067436218
7,1775454825.950833,8,person,0.9999962449073792,1.0,0.07566404342651367,0.8613473773002625
7,1775454825.950833,9,person,0.5,0.5,0.07473628968000412,0.4362104535102844
7,1775454825.950833,11,person,0.5,0.6,0.051364678889513016,0.45770469307899475
7,1775454825.950833,13,person,0.5,0.5,0.113247349858284,0.44198712706565857
8,1775454827.8301876,1,person,0.5,1.0,0.06963945180177689,0.5604459047317505
8,1775454827.8301876,2,person,0.5,0.3,0.041949477046728134,0.3812924325466156
8,1775454827.8301876,3,person,0.5,1.0,0.07434971630573273,0.561152458190918
8,1775454827.8301876,5,person,0.5,0.6,0.07433805614709854,0.4611507058143616
8,1775454827.8301876,6,person,0.8882556557655334,0.6,0.10484206676483154,0.6986797451972961
8,1775454827.8301876,7,person,0.5,0.6,0.04942144826054573,0.4574131965637207
8,1775454827.8301876,8,person,0.9851769208908081,1.0,0.08318577706813812,0.8535840511322021
8,1775454827.8301876,9,person,0.5,0.5,0.056715309619903564,0.4335073232650757
8,1775454827.8301876,11,person,0.5,0.6,0.06132044643163681,0.4591980576515198
8,1775454827.8301876,13,person,0.5,0.5,0.04964139312505722,0.4324462115764618
9,1775454829.9735003,1,person,0.5,1.0,0.11515152454376221,0.5672727227210999
9,1775454829.9735003,2,person,0.5,0.3,0.1123284101486206,0.39184924960136414
9,1775454829.9735003,3,person,0.5,1.0,0.08161436766386032,0.5622421503067017
9,1775454829.9735003,5,person,0.5,1.0,0.05310530215501785,0.5579658150672913
9,1775454829.9735003,6,person,0.5,0.6,0.10083441436290741,0.4651251435279846
9,1775454829.9735003,7,person,0.5,0.5,0.11950956284999847,0.44292643666267395
9,1775454829.9735003,8,person,0.9888681173324585,1.0,0.04349062591791153,0.8498444557189941
9,1775454829.9735003,9,person,0.5,0.5,0.10567321628332138,0.44085100293159485
9,1775454829.9735003,11,person,0.5,0.6,0.07681967318058014,0.4615229368209839
9,1775454829.9735003,13,person,0.5,0.5,0.07218436896800995,0.43582767248153687
10,1775454832.161671,1,person,0.5,1.0,0.08734311163425446,0.5631014704704285
10,1775454832.161671,2,person,0.5,0.3,0.1532759964466095,0.3979913890361786
10,1775454832.161671,3,person,0.5,1.0,0.15601252019405365,0.5734018683433533
10,1775454832.161671,5,person,0.5,0.6,0.08930573612451553,0.4633958339691162
10,1775454832.161671,6,person,0.9104910492897034,0.6,0.07335075736045837,0.7072972059249878
10,1775454832.161671,7,person,0.708713710308075,0.6,0.13599461317062378,0.5956274271011353
10,1775454832.161671,8,person,0.9888792037963867,1.0,0.06089632585644722,0.8524619936943054
10,1775454832.161671,9,person,0.5,0.5,0.12639150023460388,0.44395872950553894
10,1775454832.161671,11,person,0.5,0.6,0.08681578934192657,0.4630223512649536
10,1775454832.161671,13,person,0.5,1.0,0.14858528971672058,0.5722877979278564
11,1775454834.2258117,1,person,0.5,1.0,0.07688438147306442,0.5615326762199402
11,1775454834.2258117,2,person,0.5,0.3,0.10154285281896591,0.3902314305305481
11,1775454834.2258117,3,person,0.5,1.0,0.0846496969461441,0.5626974701881409
11,1775454834.2258117,5,person,0.5,0.6,0.07077330350875854,0.46061599254608154
11,1775454834.2258117,6,person,0.5,0.6,0.08413899689912796,0.4626208245754242
11,1775454834.2258117,7,person,0.5,0.6,0.06605798751115799,0.45990869402885437
11,1775454834.2258117,8,person,0.9960258603096008,1.0,0.18101286888122559,0.8747674822807312
11,1775454834.2258117,9,person,0.5,0.5,0.05577046796679497,0.4333655834197998
11,1775454834.2258117,11,person,0.5,0.6,0.03127670660614967,0.45469149947166443
12,1775454836.0333326,1,person,0.5,1.0,0.16169598698616028,0.5742543935775757
12,1775454836.0333326,2,person,0.5,0.3,0.13060811161994934,0.39459121227264404
12,1775454836.0333326,3,person,0.5,1.0,0.08167903125286102,0.5622518658638
12,1775454836.0333326,5,person,0.5,0.6,0.09775035828351974,0.4646625518798828
12,1775454836.0333326,6,person,0.5,0.6,0.1522420048713684,0.47283628582954407
12,1775454836.0333326,7,person,0.5,0.3,0.09274815022945404,0.38891223073005676
12,1775454836.0333326,8,person,0.9868115782737732,1.0,0.08043960481882095,0.8541529178619385
12,1775454836.0333326,9,person,0.5,0.5,0.0914614200592041,0.4387192130088806
12,1775454836.0333326,11,person,0.5,0.6,0.11675973236560822,0.46751394867897034
13,1775454837.7585258,1,person,0.5,1.0,0.163267582654953,0.5744901299476624
13,1775454837.7585258,2,person,0.5,0.3,0.1704748570919037,0.40057122707366943
13,1775454837.7585258,3,person,0.5,1.0,0.1064712256193161,0.5659707188606262
13,1775454837.7585258,5,person,0.5,0.6,0.1443367898464203,0.47165051102638245
13,1775454837.7585258,6,person,0.9101219773292542,0.6,0.06880224496126175,0.7063935399055481
13,1775454837.7585258,7,person,0.5,0.3,0.06663928925991058,0.3849959075450897
13,1775454837.7585258,8,person,0.9542235732078552,1.0,0.15345880389213562,0.8455529808998108
13,1775454837.7585258,9,person,0.5,0.5,0.0494062677025795,0.43241095542907715
13,1775454837.7585258,11,person,0.5,0.6,0.16096046566963196,0.4741440713405609
14,1775454839.395645,1,person,0.5,1.0,0.18307416141033173,0.5774611234664917
14,1775454839.395645,2,person,0.5,0.3,0.07508383691310883,0.38626256585121155
14,1775454839.395645,3,person,0.5,1.0,0.10201948881149292,0.5653029084205627
14,1775454839.395645,5,person,0.5,1.0,0.025990616530179977,0.5538986325263977
14,1775454839.395645,6,person,0.8894953727722168,0.6,0.1103399246931076,0.7002482414245605
14,1775454839.395645,7,person,0.5,0.6,0.06347686797380447,0.4595215320587158
14,1775454839.395645,8,person,0.9572767019271851,1.0,0.07045900821685791,0.8349348902702332
14,1775454839.395645,9,person,0.5,0.5,0.06557395309209824,0.43483611941337585
14,1775454839.395645,11,person,0.5,0.6,0.03180462494492531,0.45477068424224854
15,1775454841.0510542,1,person,0.5,1.0,0.12194867432117462,0.5682923197746277
15,1775454841.0510542,2,person,0.5,0.3,0.1761319637298584,0.4014197885990143
15,1775454841.0510542,3,person,0.5,1.0,0.10682884603738785,0.5660243630409241
15,1775454841.0510542,5,person,0.5,0.6,0.1228099912405014,0.46842148900032043
15,1775454841.0510542,6,person,0.8941265940666199,0.6,0.1018778532743454,0.7017576098442078
15,1775454841.0510542,7,person,0.5,0.3,0.06865967810153961,0.3852989673614502
15,1775454841.0510542,8,person,0.942121684551239,1.0,0.0748075544834137,0.8264940977096558
15,1775454841.0510542,9,person,0.5,0.5,0.138398677110672,0.4457598030567169
15,1775454841.0510542,11,person,0.5,0.6,0.09100492298603058,0.46365073323249817
16,1775454842.7492497,1,person,0.5,1.0,0.07513245940208435,0.5612698793411255
16,1775454842.7492497,2,person,0.5,0.3,0.07604599744081497,0.38640689849853516
16,1775454842.7492497,3,person,0.5,1.0,0.11378931999206543,0.5670683979988098
16,1775454842.7492497,5,person,0.5,1.0,0.09640626609325409,0.5644609332084656
16,1775454842.7492497,6,person,0.8797504901885986,0.6,0.15845349431037903,0.7016183137893677
16,1775454842.7492497,7,person,0.5,0.6,0.09644103050231934,0.4644661545753479
16,1775454842.7492497,8,person,0.9527893662452698,1.0,0.055114299058914185,0.8299407958984375
16,1775454842.7492497,9,person,0.5,0.5,0.10381700843572617,0.4405725598335266
16,1775454842.7492497,11,person,0.5,0.6,0.13105817139148712,0.4696587026119232
17,1775454844.4770103,1,person,0.5,1.0,0.09597678482532501,0.5643965005874634
17,1775454844.4770103,2,person,0.5,0.3,0.09578375518321991,0.38936755061149597
17,1775454844.4770103,3,person,0.5,1.0,0.09731289744377136,0.564596951007843
17,1775454844.4770103,5,person,0.5,1.0,0.20421722531318665,0.5806325674057007
17,1775454844.4770103,6,person,0.8779788017272949,0.6,0.14077813923358917,0.6979039907455444
17,1775454844.4770103,7,person,0.5,0.6,0.1045471653342247,0.4656820595264435
17,1775454844.4770103,8,person,0.9601752161979675,1.0,0.08340317010879517,0.8386155962944031
17,1775454844.4770103,9,person,0.5,0.5,0.08029291778802872,0.4370439648628235
17,1775454844.4770103,11,person,0.5,0.3,0.07482490688562393,0.3862237334251404
18,1775454846.1223109,1,person,0.5,1.0,0.22017665207386017,0.5830265283584595
18,1775454846.1223109,2,person,0.5,0.3,0.2392963171005249,0.4108944535255432
18,1775454846.1223109,3,person,0.5,1.0,0.1571589857339859,0.573573887348175
18,1775454846.1223109,5,person,0.5,1.0,0.0974569246172905,0.5646185278892517
18,1775454846.1223109,6,person,0.8740166425704956,0.6,0.08710410445928574,0.6874756217002869
18,1775454846.1223109,7,person,0.5,0.6,0.11262102425098419,0.46689313650131226
18,1775454846.1223109,8,person,0.9643344879150391,1.0,0.1167699322104454,0.8461161851882935
18,1775454846.1223109,9,person,0.5,0.5,0.08854459226131439,0.43828171491622925
18,1775454846.1223109,11,person,0.5,0.6,0.08744309842586517,0.46311646699905396
18,1775454846.1223109,13,person,0.5,0.5,0.3062266707420349,0.4709340035915375
19,1775454847.904064,1,person,0.5,1.0,0.2813803255558014,0.5922070741653442
19,1775454847.904064,2,person,0.5,0.3,0.297029584646225,0.4195544421672821
19,1775454847.904064,3,person,0.5,1.0,0.1024801954627037,0.5653720498085022
19,1775454847.904064,5,person,0.5,1.0,0.16601121425628662,0.5749017000198364
19,1775454847.904064,6,person,0.8855422735214233,0.6,0.07316023856401443,0.6922994256019592
19,1775454847.904064,7,person,0.5,0.6,0.10167257487773895,0.4652508795261383
19,1775454847.904064,8,person,0.9575978517532349,1.0,0.12750576436519623,0.8436846137046814
19,1775454847.904064,9,person,0.5,0.5,0.13744449615478516,0.4456166923046112
19,1775454847.904064,11,person,0.5,0.6,0.09705524146556854,0.46455827355384827
